scenario,scenario_label,period,mean,freeze_mean,effect,horizon,projection_zone,metric,sex,series
up1pc,Up 1% p.a.,2043,1437.6053079900698,1319.4314841681248,118.173823821945,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2044,1455.484583375418,1327.2529892565822,128.2315941188358,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2045,1472.5341576543647,1334.0891143766744,138.44504327769027,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2046,1488.9568067687946,1339.8652555450274,149.09155122376728,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2047,1505.6011087113568,1345.4373292117275,160.1637794996293,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2048,1522.6085548209487,1351.0805595289996,171.52799529194908,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2023,1294.6623635442688,1294.8148051914652,-0.1524416471963832,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2024,1306.123929569239,1307.0161065114742,-0.8921769422352099,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2025,1304.713380750953,1307.0322858400716,-2.318905089118516,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2026,1300.4285104358771,1304.684687570369,-4.2561771344919634,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2027,1294.8316067608907,1301.5321226904828,-6.700515929592029,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2028,1289.9567215620189,1299.591360628715,-9.6346390666960815,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2029,1284.948488739306,1297.9499928912953,-13.001504151989366,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2030,1279.4602868170039,1296.1953432577207,-16.73505644071679,Credible,credible,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2031,1274.125989990284,1294.9462461818039,-20.820256191519775,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2032,1269.3491114195285,1294.576765862106,-25.227654442577432,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2033,1264.69931197197,1294.6595691137893,-29.960257141819284,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2034,1259.118564012546,1294.0936884452292,-34.97512443268329,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2035,1252.660737592226,1292.862096436151,-40.201358843924936,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2036,1246.5918123380318,1292.2421308139199,-45.65031847588807,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2037,1241.1630082237125,1292.5093367362706,-51.3463285125581,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2038,1236.2266320204262,1293.5110586477945,-57.28442662736825,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2039,1232.395710824701,1295.7854251469203,-63.389714322219334,Caution,caution,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2040,1229.9894620886791,1299.7198344831013,-69.73037239442215,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2041,1228.8180917393247,1305.2250703147288,-76.40697857540408,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2042,1228.5461447231532,1311.9001232151188,-83.35397849196556,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2043,1228.8930001421213,1319.4314841681248,-90.53848402600352,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2044,1229.325287920206,1327.2529892565822,-97.92770133637623,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2045,1228.6388633907147,1334.0891143766744,-105.45025098595966,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2046,1226.766623949892,1339.8652555450274,-113.09863159513543,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2047,1224.516252878142,1345.4373292117275,-120.92107633358546,Risky,risky,mortality_effect,T,SBAPC
down1pc,Down 1% p.a.,2048,1222.1700763146641,1351.0805595289996,-128.9104832143355,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2023,1294.538027588414,1294.8148051914652,-0.2767776030511868,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2024,1263.4344365263003,1307.0161065114742,-43.5816699851739,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2025,1197.4093229794448,1307.0322858400716,-109.62296286062679,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2026,1146.5717237896897,1304.684687570369,-158.11296378067937,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2027,1093.763945607368,1301.5321226904828,-207.76817708311478,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2028,1042.8983562012427,1299.591360628715,-256.69300442747226,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2029,996.9229507438206,1297.9499928912953,-301.02704214747473,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2030,957.5285636822781,1296.1953432577207,-338.66677957544255,Credible,credible,mortality_effect,T,SBAPC
quit,Quit,2031,919.583115196386,1294.9462461818039,-375.3631309854179,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2032,882.7852501708132,1294.576765862106,-411.7915156912927,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2033,846.1386301344564,1294.6595691137893,-448.52093897933287,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2034,814.2181413069085,1294.0936884452292,-479.8755471383207,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2035,788.0534711993175,1292.862096436151,-504.80862523683345,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2036,763.9216617963708,1292.2421308139199,-528.320469017549,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2037,741.1611188081065,1292.5093367362706,-551.3482179281641,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2038,718.9788508252334,1293.5110586477945,-574.5322078225611,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2039,699.3576808197724,1295.7854251469203,-596.4277443271478,Caution,caution,mortality_effect,T,SBAPC
quit,Quit,2040,682.6461252115614,1299.7198344831013,-617.0737092715399,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2041,667.1359664036488,1305.2250703147288,-638.08910391108,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2042,652.3636154791161,1311.9001232151188,-659.5365077360027,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2043,637.9222859343408,1319.4314841681248,-681.509198233784,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2044,625.8322746296315,1327.2529892565822,-701.4207146269507,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2045,615.6956864206365,1334.0891143766744,-718.3934279560378,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2046,605.4229517463931,1339.8652555450274,-734.4423037986343,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2047,595.2582197865626,1345.4373292117275,-750.1791094251649,Risky,risky,mortality_effect,T,SBAPC
quit,Quit,2048,585.0787230506819,1351.0805595289996,-766.0018364783177,Risky,risky,mortality_effect,T,SBAPC
