sex,hist_bias,proj_bias,seed,dgp,scenario
M,0.05860379191913086,-25.55265936247565,21,spec_linear,freeze
F,0.3988122579340952,-26.344519029007188,21,spec_linear,freeze
M,0.05860379191913086,-26.14495825754233,21,spec_linear,up1pc
F,0.3988122579340952,-26.795939155556052,21,spec_linear,up1pc
M,0.05860379191913086,-24.98117545777978,21,spec_linear,down1pc
F,0.3988122579340952,-25.885751269358554,21,spec_linear,down1pc
M,0.05860379191913086,-20.02541536662929,21,spec_linear,quit
F,0.3988122579340952,-22.950684042613783,21,spec_linear,quit
M,0.14748457357936284,-0.2696600865270322,22,spec_linear,freeze
F,-0.4008750194268859,-3.9802352543865274,22,spec_linear,freeze
M,0.14748457357936284,-0.5627227391479283,22,spec_linear,up1pc
F,-0.4008750194268859,-4.15444361083211,22,spec_linear,up1pc
M,0.14748457357936284,0.05028221650652651,22,spec_linear,down1pc
F,-0.4008750194268859,-3.719135862018849,22,spec_linear,down1pc
M,0.14748457357936284,2.471416185940249,22,spec_linear,quit
F,-0.4008750194268859,-0.9360478783684194,22,spec_linear,quit
M,-0.24237982668733127,5.7024881433097505,23,spec_linear,freeze
F,-0.8664635153476274,13.82585991302923,23,spec_linear,freeze
M,-0.24237982668733127,6.281165838372349,23,spec_linear,up1pc
F,-0.8664635153476274,14.322670768639636,23,spec_linear,up1pc
M,-0.24237982668733127,5.366158295693068,23,spec_linear,down1pc
F,-0.8664635153476274,13.504683832967457,23,spec_linear,down1pc
M,-0.24237982668733127,4.532112166201379,23,spec_linear,quit
F,-0.8664635153476274,13.295209605762796,23,spec_linear,quit
M,0.033734757637487914,-3.9602497205992893,24,spec_linear,freeze
F,0.16374423592204196,-1.7167979186458326,24,spec_linear,freeze
M,0.033734757637487914,-3.995884192190735,24,spec_linear,up1pc
F,0.16374423592204196,-1.2698243416416188,24,spec_linear,up1pc
M,0.033734757637487914,-3.6739543021366465,24,spec_linear,down1pc
F,0.16374423592204196,-1.952649431045129,24,spec_linear,down1pc
M,0.033734757637487914,-0.024197749068171025,24,spec_linear,quit
F,0.16374423592204196,-1.3716850859827712,24,spec_linear,quit
M,-0.2664818200434022,-8.507881215924057,25,spec_linear,freeze
F,-0.13851530561881178,-10.709164926456781,25,spec_linear,freeze
M,-0.2664818200434022,-8.68539819907199,25,spec_linear,up1pc
F,-0.13851530561881178,-11.200518162078641,25,spec_linear,up1pc
M,-0.2664818200434022,-8.367632143906144,25,spec_linear,down1pc
F,-0.13851530561881178,-10.080231124403099,25,spec_linear,down1pc
M,-0.2664818200434022,-6.594856250641674,25,spec_linear,quit
F,-0.13851530561881178,-5.314833056866952,25,spec_linear,quit
M,0.10709888028442065,-4.5621124226712295,26,spec_linear,freeze
F,-0.3939102930283633,-1.7864313959326863,26,spec_linear,freeze
M,0.10709888028442065,-5.082346452147195,26,spec_linear,up1pc
F,-0.3939102930283633,-2.198102385981203,26,spec_linear,up1pc
M,0.10709888028442065,-3.915584572662944,26,spec_linear,down1pc
F,-0.3939102930283633,-1.344630578303845,26,spec_linear,down1pc
M,0.10709888028442065,0.015345558010108253,26,spec_linear,quit
F,-0.3939102930283633,1.5461723262916163,26,spec_linear,quit
M,-0.2830920267051291,-5.288202396539003,27,spec_linear,freeze
F,-0.31057149246224264,4.93508319625011,27,spec_linear,freeze
M,-0.2830920267051291,-5.733342891167252,27,spec_linear,up1pc
F,-0.31057149246224264,4.673975046594111,27,spec_linear,up1pc
M,-0.2830920267051291,-4.796125094549161,27,spec_linear,down1pc
F,-0.31057149246224264,5.370980485092325,27,spec_linear,down1pc
M,-0.2830920267051291,-0.9171853351933501,27,spec_linear,quit
F,-0.31057149246224264,9.909823231296105,27,spec_linear,quit
M,0.3880671680036399,-2.6720962625805815,28,spec_linear,freeze
F,0.39031004852799106,-6.253148594238876,28,spec_linear,freeze
M,0.3880671680036399,-3.4177494980976926,28,spec_linear,up1pc
F,0.39031004852799106,-7.051290970003633,28,spec_linear,up1pc
M,0.3880671680036399,-1.6867530786395897,28,spec_linear,down1pc
F,0.39031004852799106,-5.517768014039193,28,spec_linear,down1pc
M,0.3880671680036399,4.903872485841572,28,spec_linear,quit
F,0.39031004852799106,-1.8950666504638225,28,spec_linear,quit
M,-0.29439132773544324,-0.1755296443101418,29,spec_linear,freeze
F,0.6332299602855825,10.12445206749016,29,spec_linear,freeze
M,-0.29439132773544324,-0.7372654087993963,29,spec_linear,up1pc
F,0.6332299602855825,9.22123231509231,29,spec_linear,up1pc
M,-0.29439132773544324,0.36534313869263146,29,spec_linear,down1pc
F,0.6332299602855825,11.028145585715153,29,spec_linear,down1pc
M,-0.29439132773544324,3.260647976576027,29,spec_linear,quit
F,0.6332299602855825,17.231075839312226,29,spec_linear,quit
M,-0.0415312773150362,6.639268350544544,30,spec_linear,freeze
F,-0.13866530178109865,7.1112043640050535,30,spec_linear,freeze
M,-0.0415312773150362,6.116573279177508,30,spec_linear,up1pc
F,-0.13866530178109865,6.185802550623807,30,spec_linear,up1pc
M,-0.0415312773150362,7.195061247658346,30,spec_linear,down1pc
F,-0.13866530178109865,7.969296719862621,30,spec_linear,down1pc
M,-0.0415312773150362,10.831255372990167,30,spec_linear,quit
F,-0.13866530178109865,12.74853533729234,30,spec_linear,quit
M,0.3979930866416942,-1.527175214341593,31,spec_linear,freeze
F,0.636656487603373,-5.740471381002069,31,spec_linear,freeze
M,0.3979930866416942,-1.7553201119983466,31,spec_linear,up1pc
F,0.636656487603373,-6.125424980619336,31,spec_linear,up1pc
M,0.3979930866416942,-1.391092678221315,31,spec_linear,down1pc
F,0.636656487603373,-5.374939729736302,31,spec_linear,down1pc
M,0.3979930866416942,-1.6341661256795648,31,spec_linear,quit
F,0.636656487603373,-1.9682178227670997,31,spec_linear,quit
M,-0.4310929139615119,6.009015911766775,32,spec_linear,freeze
F,8.937409040870143e-4,9.412416627283564,32,spec_linear,freeze
M,-0.4310929139615119,6.865204708903595,32,spec_linear,up1pc
