causa2,año,mujer,edad,muertes_suavizadas
esófago,2005,1,74,3.277291804009856
esófago,2005,1,75,3.3601050966881423
esófago,2005,1,76,3.2508410774524776
esófago,2005,1,77,2.9526615192626147
esófago,2005,1,78,2.572830572361889
esófago,2005,1,79,2.1755458279666127
esófago,2005,1,80,1.9199997208954755
esófago,2005,1,81,1.8119898419022242
esófago,2005,1,82,1.899064615813689
esófago,2005,1,83,2.232905592981339
esófago,2005,1,84,2.7774883468682336
esófago,2005,1,85,3.5559965312205293
esófago,2005,1,86,4.1655344298799815
esófago,2005,1,87,4.23137281013718
esófago,2005,1,88,3.679116121122806
esófago,2005,1,89,2.7232104942464206
esófago,2006,0,0,0.003973592426301403
esófago,2006,0,1,0.0035492517764811006
esófago,2006,0,2,0.0031723551902581608
esófago,2006,0,3,0.002839505004646218
esófago,2006,0,4,0.0025461537417821546
esófago,2006,0,5,0.002288844770278995
esófago,2006,0,6,0.0020633624938405765
esófago,2006,0,7,0.0018665914252999102
esófago,2006,0,8,0.0016950033865190193
esófago,2006,0,9,0.0015461431164240957
esófago,2006,0,10,0.001417168377988433
esófago,2006,0,11,0.0013062691781322374
esófago,2006,0,12,0.0012112778119215508
esófago,2006,0,13,0.0011311365808833456
esófago,2006,0,14,0.0010642322301809206
esófago,2006,0,15,0.0010101687872099776
esófago,2006,0,16,9.67856200240423e-4
esófago,2006,0,17,9.376038890866634e-4
esófago,2006,0,18,9.189306758113435e-4
esófago,2006,0,19,9.130731972998788e-4
esófago,2006,0,20,9.204360655089654e-4
esófago,2006,0,21,9.4365580478915e-4
esófago,2006,0,22,9.84725364946995e-4
esófago,2006,0,23,0.0010488495834410792
esófago,2006,0,24,0.0011413172708987444
esófago,2006,0,25,0.0012727960585916295
esófago,2006,0,26,0.0014561979085027724
esófago,2006,0,27,0.00171486928052787
esófago,2006,0,28,0.0020810481936889237
esófago,2006,0,29,0.002611067490032843
esófago,2006,0,30,0.003391245475531152
esófago,2006,0,31,0.00457365592988748
esófago,2006,0,32,0.006412716463852804
esófago,2006,0,33,0.00936627093339772
esófago,2006,0,34,0.014261849861183526
esófago,2006,0,35,0.022630347102485647
esófago,2006,0,36,0.037406948347090754
esófago,2006,0,37,0.06393969806048298
esófago,2006,0,38,0.11253859144529063
esófago,2006,0,39,0.1984072928679193
esófago,2006,0,40,0.34451658054034
esófago,2006,0,41,0.5605133831797201
esófago,2006,0,42,0.8256293284174798
esófago,2006,0,43,1.0832646976527889
esófago,2006,0,44,1.2497549256965141
esófago,2006,0,45,1.3185761973961705
esófago,2006,0,46,1.3192655592565665
esófago,2006,0,47,1.2998193504837041
esófago,2006,0,48,1.3136462929709447
esófago,2006,0,49,1.3733537643237312
esófago,2006,0,50,1.5010687329313266
esófago,2006,0,51,1.6993670041119286
esófago,2006,0,52,1.965743016149512
esófago,2006,0,53,2.2944821483511797
esófago,2006,0,54,2.6468401927392673
esófago,2006,0,55,2.9784203399993316
esófago,2006,0,56,3.1901628722325874
esófago,2006,0,57,3.2492834020218115
esófago,2006,0,58,3.1446282951772617
esófago,2006,0,59,2.932906230796973
esófago,2006,0,60,2.7323275373470577
esófago,2006,0,61,2.582245218958311
esófago,2006,0,62,2.576193234553759
esófago,2006,0,63,2.720312140750002
esófago,2006,0,64,3.041420418964288
esófago,2006,0,65,3.565099160348045
esófago,2006,0,66,4.2186680455631045
esófago,2006,0,67,4.984665154837402
esófago,2006,0,68,5.696071876652306
esófago,2006,0,69,6.262054777721597
esófago,2006,0,70,6.573887616515304
esófago,2006,0,71,6.593464238037715
esófago,2006,0,72,6.377774573625384
esófago,2006,0,73,5.970850752937272
esófago,2006,0,74,5.487225383272471
esófago,2006,0,75,4.973259261877234
esófago,2006,0,76,4.517190902558925
esófago,2006,0,77,4.131172791016267
esófago,2006,0,78,3.845637754297554
esófago,2006,0,79,3.6555202301140697
esófago,2006,0,80,3.5651374564395906
esófago,2006,0,81,3.5703961570182052
esófago,2006,0,82,3.638161866477023
esófago,2006,0,83,3.75470399361663
esófago,2006,0,84,3.8112509863729533
esófago,2006,0,85,3.7568033997471333
esófago,2006,0,86,3.4818311295667397
esófago,2006,0,87,2.9906413519490167
esófago,2006,0,88,2.3981510623065607
