causa,mujer,edad,anio,casos
cavidad oral y faringe,0,11,2003,0.03387921628265671
cavidad oral y faringe,0,11,2004,0.021588552302958242
cavidad oral y faringe,0,11,2005,0.012942141583300246
cavidad oral y faringe,0,11,2006,0.01145275251407527
cavidad oral y faringe,0,11,2007,0
cavidad oral y faringe,0,11,2008,0
cavidad oral y faringe,0,11,2009,0
cavidad oral y faringe,0,11,2010,0
cavidad oral y faringe,0,11,2011,0
cavidad oral y faringe,0,11,2012,0.014866265675022357
cavidad oral y faringe,0,11,2013,0.05678123790409633
cavidad oral y faringe,0,11,2014,0.08015749155615902
cavidad oral y faringe,0,11,2015,0.08146367669008457
cavidad oral y faringe,0,11,2016,0.07965321226321971
cavidad oral y faringe,0,11,2017,0.08487115181024647
cavidad oral y faringe,0,11,2018,0.10307079943331976
cavidad oral y faringe,0,11,2019,0.11856782442648678
cavidad oral y faringe,0,11,2020,0.1260335866404771
cavidad oral y faringe,0,11,2021,0.1323114764744272
cavidad oral y faringe,0,11,2022,0.11762914936766936
cavidad oral y faringe,0,12,1998,0.201291626378666
cavidad oral y faringe,0,12,1999,0.16383525312777014
cavidad oral y faringe,0,12,2000,0.13050543628945627
cavidad oral y faringe,0,12,2001,0.10130217586372356
cavidad oral y faringe,0,12,2002,0.057747251157652314
cavidad oral y faringe,0,12,2003,0.041875739891027004
cavidad oral y faringe,0,12,2004,0.029130444622651602
cavidad oral y faringe,0,12,2005,0.01978830684351812
cavidad oral y faringe,0,12,2006,0.012605063046309569
cavidad oral y faringe,0,12,2007,0
cavidad oral y faringe,0,12,2008,0
cavidad oral y faringe,0,12,2009,0
cavidad oral y faringe,0,12,2010,0
cavidad oral y faringe,0,12,2011,0
cavidad oral y faringe,0,12,2012,0.03785105893140998
cavidad oral y faringe,0,12,2013,0.07512499674452512
cavidad oral y faringe,0,12,2014,0.09214986711678064
cavidad oral y faringe,0,12,2015,0.09166230192681643
cavidad oral y faringe,0,12,2016,0.09529186524021653
cavidad oral y faringe,0,12,2017,0.10504600056573823
